epoch_ms,fps
1790170560955,16
1790170562404,22
1790170563437,29
1790170564487,118
1790170565536,119
1790170566901,23
1790170568612,23
1790170569636,7
1790170570639,118
1790170571683,117
1790170572683,118
1790170573688,118
1790170575118,47
1790170576135,66
1790170577137,117
1790170578139,118
1790170579141,117
1790170580186,118
1790170581188,117
1790170582238,119
1790170583238,118
1790170584283,117
1790170585284,118
1790170586289,119
1790170587291,118
1790170588333,118
1790170589340,117
1790170590384,118
1790170591433,118
1790170592433,118
1790170593437,118
1790170594438,117
1790170595485,118
1790170596486,118
1790170597533,117
1790170598540,118
1790170599588,118
1790170600635,118
1790170601636,118
1790170602639,118
1790170603690,117
1790170604735,118
1790170605735,118
1790170606737,118
1790170607740,118
1790170608789,117
1790170609791,117
1790170610838,118
1790170611887,117
1790170612887,118
1790170613935,118
1790170614935,118
1790170615937,117
1790170616983,118
1790170617988,118
1790170618989,117
1790170620035,118
1790170621085,117
1790170622091,117
1790170623138,118
1790170624187,118
1790170625188,118
1790170626237,118
1790170627285,118
1790170628335,117
1790170629339,117
1790170630384,118
1790170631384,117
1790170632433,118
1790170633438,118
1790170634485,117
1790170635488,118
1790170636488,117
1790170637537,117
1790170638589,118
1790170639635,117
1790170640637,118
1790170641637,118
1790170642684,118
1790170643684,118
1790170644686,118
1790170645735,117
1790170646736,118
1790170647738,118
1790170648785,117
1790170649834,118
1790170650839,117
1790170651889,118
1790170652889,118
1790170653935,118
1790170654940,117
1790170655983,118
1790170656985,118
1790170657986,118
1790170659035,117
1790170660039,118
1790170661041,117
1790170662084,118
1790170663089,117
1790170664135,118
1790170665140,117
1790170666186,118
1790170667189,118
1790170668235,117
1790170669236,118
1790170670238,118
1790170671241,118
1790170672288,117
1790170673288,118
1790170674288,118
1790170675336,118
1790170676385,117
1790170677388,118
1790170678388,118
1790170679389,117
1790170680439,118
1790170681486,118
1790170683645,111
1790170686761,1
1790170687787,107
1790170688791,118
1790170689840,118
1790170690886,117
1790170691891,118
1790170692940,118
1790170693985,118
1790170694990,117
1790170696035,118
1790170697036,118
1790170698084,118
1790170699089,118
1790170700135,119
1790170701139,120
1790170702139,117
1790170703188,94
1790170704237,112
1790170705240,115
1790170706289,119
1790170707336,118
1790170708386,115
1790170709437,113
1790170710437,119
1790170711438,114
1790170712977,117
1790170713980,57
1790170715028,59
1790170716032,60
1790170717041,60
1790170718043,59
