epoch_ms,fps
1790170738072,22
1790170739664,24
1790170740708,12
1790170741711,119
1790170742755,120
1790170743763,120
1790170745107,34
1790170746844,34
1790170747858,112
1790170748862,120
1790170749864,120
1790170750909,119
1790170751914,120
1790170753326,59
1790170754363,55
1790170755409,120
1790170756457,119
1790170757461,119
1790170758465,120
1790170759512,119
1790170760512,120
1790170761559,120
1790170762564,119
1790170763610,120
1790170764612,119
1790170765613,120
1790170766659,120
1790170767661,119
1790170768662,119
1790170769709,120
1790170770712,119
1790170771757,120
1790170772760,119
1790170773764,120
1790170774811,119
1790170775857,119
1790170776859,120
1790170777862,120
1790170778906,119
1790170779911,120
1790170780959,119
1790170781962,120
1790170783008,119
1790170784013,120
1790170785060,119
1790170786063,120
1790170787108,119
1790170788110,120
1790170789113,120
1790170790160,119
1790170791163,120
1790170792209,119
1790170793214,119
1790170794260,119
1790170795308,120
1790170796314,119
1790170797363,119
1790170798410,119
1790170799457,120
1790170800458,119
1790170801464,119
1790170802511,119
1790170803559,120
1790170804559,119
1790170805608,119
1790170806657,119
1790170807707,119
1790170808708,119
1790170809713,119
1790170810760,120
1790170811764,119
1790170812814,120
1790170813864,119
1790170814913,119
1790170815958,119
1790170817007,120
1790170818012,119
1790170819014,99
1790170820014,119
1790170821058,119
1790170822059,120
1790170823064,120
1790170824064,119
1790170825111,119
1790170826156,120
1790170827156,119
1790170828162,119
1790170829208,119
1790170830214,120
1790170831259,119
1790170832261,120
1790170833307,118
1790170834357,119
1790170835358,119
1790170836408,120
1790170837411,119
1790170838460,119
1790170839508,120
1790170840513,119
1790170841560,120
1790170842608,119
1790170843614,119
1790170844660,120
1790170845709,119
1790170846711,119
1790170847713,119
1790170848713,120
1790170849761,118
1790170850809,119
1790170851812,120
1790170852861,119
1790170853909,119
1790170854958,119
1790170855962,120
1790170857009,119
1790170858012,120
1790170859059,119
1790170860108,119
1790170861112,120
1790170862160,119
1790170863208,119
1790170864213,120
1790170865256,119
1790170866263,119
1790170867263,119
1790170868308,119
1790170869312,120
1790170870360,119
1790170871364,120
1790170872412,119
1790170873460,120
1790170874463,119
1790170875511,120
1790170876557,119
1790170877563,119
1790170878607,120
1790170879614,119
1790170880659,96
1790170881661,112
1790170882707,116
1790170883713,119
1790170884788,112
1790170885809,119
1790170886813,120
1790170887859,115
1790170888859,119
1790170890019,119
1790170891052,52
1790170892055,60
1790170893059,60
1790170894060,60
1790170895062,60
