epoch_ms,fps
1790167333182,13
1790167334690,28
1790167335716,10
1790167336764,117
1790167337768,120
1790167338815,119
1790167340064,27
1790167341795,0
1790167342815,119
1790167343818,120
1790167344863,120
1790167345866,119
1790167346868,120
1790167348322,50
1790167349366,56
1790167350417,118
1790167351464,109
1790167352467,119
1790167353494,120
1790167354644,96
1790167355777,91
1790167356811,104
1790167357814,102
1790167358814,119
1790167359814,119
1790167360815,118
1790167361815,118
1790167362815,119
1790167363816,119
1790167364864,119
1790167365870,119
1790167366917,119
1790167367921,119
1790167368968,119
1790167369968,119
1790167370969,119
1790167372015,119
1790167373019,119
1790167374067,119
1790167375112,118
1790167376116,119
1790167377165,119
1790167378165,119
1790167379214,119
1790167380219,119
1790167381266,120
1790167382312,119
1790167383314,119
1790167384364,119
1790167385412,119
1790167386416,120
1790167387416,119
1790167388464,119
1790167389514,119
1790167390518,119
1790167391518,120
1790167392566,118
1790167393570,119
1790167394616,119
1790167395664,119
1790167396667,120
1790167397714,119
1790167398719,119
1790167399767,120
1790167400814,119
1790167401819,120
1790167402862,118
1790167403867,119
1790167404914,120
1790167405962,119
1790167406968,119
1790167408017,119
1790167409062,120
1790167410068,119
1790167411117,120
1790167412117,119
1790167413164,119
1790167414183,109
1790167415219,31
1790167416240,31
1790167417384,60
1790167418439,69
1790167419464,91
1790167420467,117
1790167421519,118
1790167422519,119
1790167423564,118
1790167424567,117
1790167425615,114
1790167426619,118
1790167427668,119
1790167428714,119
1790167429764,118
1790167430812,118
1790167431812,118
1790167432865,118
1790167433869,118
1790167434918,119
1790167435969,117
1790167437014,119
1790167438061,117
1790167439069,117
1790167440114,118
1790167441118,109
1790167442162,118
1790167443170,119
1790167444219,119
1790167445269,119
1790167446316,118
1790167447316,119
1790167448364,118
1790167449412,119
1790167450412,118
1790167451418,118
1790167452465,119
1790167453513,115
1790167454514,118
1790167455517,119
1790167456563,118
1790167457563,119
1790167458567,119
1790167459567,119
1790167460613,119
1790167461614,118
1790167462614,118
1790167463668,119
1790167464669,113
1790167465815,99
1790167466864,111
1790167467868,110
1790167468915,116
1790167469915,119
1790167470965,119
1790167471965,117
1790167473016,118
1790167474017,119
1790167475017,117
1790167476018,119
1790167477062,107
1790167478160,91
1790167479167,106
1790167480219,119
1790167481268,112
1790167482317,118
1790167483366,119
1790167484366,102
1790167485369,117
1790167486413,119
1790167487416,120
1790167488463,119
1790167489494,86
1790167490513,115
1790167491562,120
1790167492568,119
1790167493612,118
1790167494615,120
1790167495615,119
1790167496662,119
1790167497662,120
1790167498710,119
1790167499716,119
1790167500763,119
1790167501810,120
1790167502816,119
1790167503863,120
1790167504868,119
1790167505916,119
1790167506961,120
1790167507967,119
1790167509011,120
1790167510015,119
1790167511061,120
1790167512068,119
1790167513113,120
1790167514118,119
1790167515167,119
1790167516214,120
1790167517217,119
1790167518263,120
1790167519310,119
1790167520315,120
1790167521361,119
1790167522368,120
1790167523414,119
1790167524417,119
