epoch_ms,fps
1790171266449,1
1790171267905,0
1790171268950,100
1790171269955,120
1790171271001,119
1790171272005,120
1790171273964,18
1790171275462,38
1790171276497,38
1790171277499,119
1790171278504,120
1790171279549,119
1790171280552,120
1790171282114,120
1790171283154,78
1790171284200,115
1790171285249,117
1790171286255,120
1790171287302,119
1790171288348,116
1790171289349,119
1790171290354,120
1790171291400,119
1790171292448,120
1790171293453,119
1790171294499,120
1790171295502,119
1790171296504,120
1790171297548,120
1790171298553,119
1790171299598,120
1790171300601,119
1790171301605,120
1790171302651,119
1790171303653,120
1790171304700,120
1790171305705,119
1790171306753,120
1790171307799,119
1790171308802,120
1790171309849,119
1790171310853,120
1790171311898,119
1790171312901,120
1790171313904,120
1790171314949,120
1790171315955,119
1790171317001,119
1790171318004,120
1790171319049,119
1790171320098,120
1790171321103,119
1790171322149,120
1790171323198,119
1790171324203,119
1790171325253,119
1790171326302,119
1790171327349,120
1790171328353,119
1790171329401,119
1790171330450,120
1790171331453,119
1790171332499,120
1790171333505,119
1790171334551,119
1790171335598,120
1790171336599,119
1790171337606,115
1790171338606,119
1790171339648,119
1790171340652,119
1790171341700,120
1790171342704,119
1790171343751,120
1790171344799,119
1790171345803,120
1790171346925,119
1790171347950,96
1790171348953,119
1790171349954,120
1790171351001,119
1790171352049,119
1790171353054,120
1790171354099,119
1790171355103,120
1790171356104,118
1790171357152,119
1790171358155,120
1790171359202,119
1790171360250,120
1790171361256,119
1790171362303,119
1790171363306,120
1790171364354,119
1790171365400,119
1790171366403,120
1790171367452,120
1790171368454,119
1790171369501,120
1790171370549,119
1790171371556,119
1790171372600,119
1790171373605,120
1790171374650,120
1790171375655,119
1790171376701,119
1790171377703,120
1790171378752,120
1790171379801,119
1790171380806,120
1790171381852,119
1790171382855,120
1790171383899,119
1790171384900,120
1790171385904,120
1790171386953,119
1790171387999,119
1790171389005,120
1790171390054,119
1790171391055,119
1790171392102,119
1790171393149,119
1790171394153,120
1790171395203,119
1790171396248,120
1790171397252,119
1790171398256,119
1790171399302,119
1790171400351,120
1790171401352,119
1790171402400,119
1790171403404,120
1790171404449,120
1790171405454,119
1790171406502,119
1790171407550,120
1790171408552,112
1790171409555,99
1790171410601,116
1790171411603,120
1790171412605,120
1790171413655,120
1790171414701,110
1790171415750,119
1790171416754,116
1790171418193,117
1790171419197,75
1790171420201,60
1790171421204,60
1790171422208,59
1790171423209,60
