epoch_ms,fps
1790171442378,1
1790171443895,0
1790171444932,110
1790171445980,119
1790171447025,120
1790171448029,119
1790171450059,120
1790171451565,37
1790171452578,34
1790171453580,119
1790171454625,120
1790171455630,120
1790171456674,119
1790171458232,119
1790171459279,73
1790171460280,107
1790171461282,119
1790171462329,120
1790171463330,119
1790171464379,115
1790171465381,119
1790171466381,120
1790171467428,120
1790171468432,119
1790171469478,119
1790171470480,119
1790171471481,120
1790171472527,120
1790171473531,119
1790171474579,120
1790171475581,119
1790171476627,120
1790171477632,119
1790171478680,120
1790171479725,119
1790171480731,119
1790171481777,120
1790171482782,119
1790171483831,120
1790171484877,120
1790171485882,119
1790171486928,119
1790171487975,120
1790171488981,119
1790171490026,120
1790171491029,119
1790171492077,120
1790171493124,119
1790171494128,119
1790171495130,120
1790171496130,119
1790171497176,120
1790171498179,119
1790171499225,120
1790171500230,119
1790171501278,120
1790171502282,119
1790171503325,120
1790171504329,120
1790171505331,119
1790171506334,120
1790171507378,120
1790171508378,119
1790171509379,119
1790171510428,120
1790171511431,119
1790171512478,120
1790171513482,119
1790171514529,119
1790171515532,120
1790171516580,120
1790171517629,119
1790171518631,119
1790171519678,120
1790171520681,119
1790171521729,120
1790171522736,119
1790171523778,100
1790171524825,119
1790171525828,120
1790171526828,119
1790171527833,119
1790171528881,118
1790171529927,120
1790171530933,119
1790171531977,120
1790171532979,119
1790171534027,120
1790171535032,119
1790171536077,120
1790171537081,119
1790171538129,119
1790171539175,120
1790171540179,119
1790171541225,120
1790171542231,119
1790171543276,120
1790171544282,119
1790171545326,120
1790171546375,119
1790171547383,119
1790171548430,120
1790171549475,119
1790171550481,120
1790171551482,118
1790171552530,120
1790171553577,119
1790171554583,119
1790171555632,120
1790171556680,119
1790171557683,119
1790171558729,119
1790171559729,119
1790171560732,119
1790171561780,120
1790171562827,119
1790171563831,120
1790171564877,119
1790171565882,120
1790171566930,119
1790171567977,120
1790171568979,119
1790171569983,120
1790171571026,120
1790171572026,119
1790171573032,119
1790171574080,119
1790171575128,120
1790171576131,119
1790171577179,119
1790171578182,120
1790171579226,120
1790171580228,120
1790171581228,119
1790171582232,119
1790171583278,120
1790171584278,89
1790171585325,119
1790171586329,117
1790171587331,119
1790171588379,120
1790171589425,111
1790171590430,120
1790171591474,119
1790171592475,115
1790171593836,119
1790171594840,109
1790171595877,59
1790171596880,60
1790171597882,60
1790171598884,60
