epoch_ms,fps
1790171798426,5
1790171799855,5
1790171800876,3
1790171801923,118
1790171802927,120
1790171803970,120
1790171804973,120
1790171806172,24
1790171807664,38
1790171808670,33
1790171809675,119
1790171810720,120
1790171811727,119
1790171812771,119
1790171814213,20
1790171815224,86
1790171816250,119
1790171817275,109
1790171818320,119
1790171819328,120
1790171820372,54
1790171821421,80
1790171822424,80
1790171823424,109
1790171824471,96
1790171825521,118
1790171826569,120
1790171827575,119
1790171828623,120
1790171829627,119
1790171830675,119
1790171831723,119
1790171832770,120
1790171833774,119
1790171834820,120
1790171835824,119
1790171836869,120
1790171837871,118
1790171838920,119
1790171839925,119
1790171840974,120
1790171842021,119
1790171843023,119
1790171844025,120
1790171845073,119
1790171846121,119
1790171847170,119
1790171848175,120
1790171849223,119
1790171850226,120
1790171851269,119
1790171852319,120
1790171853323,119
1790171854370,119
1790171855376,120
1790171856422,119
1790171857472,116
1790171858476,120
1790171859522,119
1790171860571,119
1790171861571,120
1790171862573,119
1790171863576,120
1790171864623,114
1790171865627,120
1790171866671,119
1790171867673,120
1790171868719,120
1790171869722,119
1790171870725,120
1790171871770,120
1790171872773,119
1790171873821,120
1790171874825,119
1790171875870,120
1790171876874,119
1790171877920,120
1790171879017,87
1790171880027,54
1790171881072,65
1790171882072,86
1790171883122,71
1790171884127,109
1790171885176,116
1790171886177,119
1790171887222,119
1790171888227,118
1790171889272,117
1790171890319,119
1790171891319,120
1790171892326,119
1790171893374,119
1790171894374,119
1790171895376,117
1790171896377,118
1790171897424,119
1790171898474,119
1790171899522,118
1790171900524,119
1790171901572,116
1790171902621,120
1790171903669,119
1790171904673,119
1790171905674,118
1790171906721,120
1790171907723,119
1790171908772,119
1790171909820,119
1790171910869,119
1790171911875,119
1790171912925,120
1790171913970,118
1790171914972,119
1790171915973,117
1790171917021,119
1790171918069,119
1790171919074,120
1790171920075,119
1790171921125,119
1790171922128,119
1790171923174,119
1790171924221,119
1790171925224,120
1790171926273,119
1790171927273,119
1790171928276,119
1790171929324,118
1790171930371,118
1790171931424,115
1790171932473,118
1790171933520,120
1790171934523,119
1790171935571,120
1790171936619,119
1790171937626,119
1790171938673,119
1790171939675,119
1790171940830,117
1790171941873,106
1790171942922,97
1790171943922,115
1790171944925,114
1790171945974,119
1790171946974,119
1790171948023,108
1790171949024,119
1790171950069,120
1790171951126,118
1790171952174,104
1790171954207,118
1790171955225,55
1790171956229,60
1790171957231,60
1790171958267,60
1790171959271,59
